unique_id,target_arrival_time,target_end_time,target_position
5005,1571670899999999908,1571671800000000000,8690
5025,1571670899999999908,1571671800000000000,4414
5040,1571670899999999908,1571671800000000000,5432
5000,1571670899999999908,1571671800000000000,4407
5015,1571670899999999908,1571671800000000000,-10149
5030,1571670899999999908,1571671800000000000,11651
5020,1571670899999999908,1571671800000000000,10940
5035,1571680919999999989,1571682600000000000,16257
5010,1571680919999999989,1571682600000000000,38422
5005,1571680919999999989,1571682600000000000,12476
5025,1571680919999999989,1571682600000000000,1977
5040,1571680919999999989,1571682600000000000,4248
5000,1571680919999999989,1571682600000000000,7767
5015,1571680919999999989,1571682600000000000,-6030
5030,1571680919999999989,1571682600000000000,10149
5020,1571680919999999989,1571682600000000000,5064
5035,1571686799999999998,1571691600000000000,16618
5010,1571686799999999998,1571691600000000000,40878
5005,1571686799999999998,1571691600000000000,12389
5025,1571686799999999998,1571691600000000000,1328
5040,1571686799999999998,1571691600000000000,4499
5000,1571686799999999998,1571691600000000000,8218
5015,1571686799999999998,1571691600000000000,-6186
5030,1571686799999999998,1571691600000000000,9851
5020,1571686799999999998,1571691600000000000,2947
5035,1571754119999999999,1571758200000000000,17677
5010,1571754119999999999,1571758200000000000,44055
5005,1571754119999999999,1571758200000000000,12536
5025,1571754119999999999,1571758200000000000,-82
5040,1571754119999999999,1571758200000000000,3999
5000,1571754119999999999,1571758200000000000,9048
5015,1571754119999999999,1571758200000000000,-6645
5030,1571754119999999999,1571758200000000000,9446
5020,1571754119999999999,1571758200000000000,-1299
5035,1571773559999999938,1571778000000000000,16394
5010,1571773559999999938,1571778000000000000,39102
5005,1571773559999999938,1571778000000000000,12481
5025,1571773559999999938,1571778000000000000,2085
5040,1571773559999999938,1571778000000000000,3754
5000,1571773559999999938,1571778000000000000,8812
5015,1571773559999999938,1571778000000000000,-5178
5030,1571773559999999938,1571778000000000000,7391
5020,1571773559999999938,1571778000000000000,10238
5035,1571842139999999907,1571844600000000000,15281
5010,1571842139999999907,1571844600000000000,44984
5005,1571842139999999907,1571844600000000000,13108
5025,1571842139999999907,1571844600000000000,1167
5040,1571842139999999907,1571844600000000000,2749
5000,1571842139999999907,1571844600000000000,8967
5015,1571842139999999907,1571844600000000000,-6930
5030,1571842139999999907,1571844600000000000,5596
5020,1571842139999999907,1571844600000000000,9695
5035,1571849819999999960,1571855400000000000,15197
5010,1571849819999999960,1571855400000000000,39501
5005,1571849819999999960,1571855400000000000,13253
5025,1571849819999999960,1571855400000000000,2110
5040,1571849819999999960,1571855400000000000,3334
5000,1571849819999999960,1571855400000000000,8539
5015,1571849819999999960,1571855400000000000,-6632
5030,1571849819999999960,1571855400000000000,6332
5020,1571849819999999960,1571855400000000000,11505
5035,1571863619999999933,1571864400000000000,10921
5010,1571863619999999933,1571864400000000000,34368
5005,1571863619999999933,1571864400000000000,9922
5025,1571863619999999933,1571864400000000000,3690
5040,1571863619999999933,1571864400000000000,5929
5000,1571863619999999933,1571864400000000000,6272
5015,1571863619999999933,1571864400000000000,-4513
5030,1571863619999999933,1571864400000000000,10167
5020,1571863619999999933,1571864400000000000,14089
5035,1571926079999999908,1571931000000000000,10553
5010,1571926079999999908,1571931000000000000,32756
5005,1571926079999999908,1571931000000000000,9295
5025,1571926079999999908,1571931000000000000,3978
5040,1571926079999999908,1571931000000000000,6190
5000,1571926079999999908,1571931000000000000,5978
5015,1571926079999999908,1571931000000000000,-4492
5030,1571926079999999908,1571931000000000000,10675
5020,1571926079999999908,1571931000000000000,14987
5035,1571938019999999919,1571941800000000000,8064
5010,1571938019999999919,1571941800000000000,34401
5005,1571938019999999919,1571941800000000000,10244
5025,1571938019999999919,1571941800000000000,2700
5040,1571938019999999919,1571941800000000000,4705
5000,1571938019999999919,1571941800000000000,7805
5015,1571938019999999919,1571941800000000000,-4387
5030,1571938019999999919,1571941800000000000,12310
5020,1571938019999999919,1571941800000000000,14431
5035,1571949359999999951,1571950800000000000,9764
5010,1571949359999999951,1571950800000000000,41795
5005,1571949359999999951,1571950800000000000,12274
5025,1571949359999999951,1571950800000000000,1863
5040,1571949359999999951,1571950800000000000,3414
